Ano,IdRegion,IdServicio,IdComuna,IdEstablecimiento,servicio_salud_master,comuna_master,establecimiento_master,tipo_establecimiento_master,dependencia_master,estado_funcionamiento_master,codigo_madre_master,50_54 | Mes 6,50_54 | Mes 12,50_54 | Diferencia,55_59 | Mes 6,55_59 | Mes 12,55_59 | Diferencia,60_64 | Mes 6,60_64 | Mes 12,60_64 | Diferencia,65_69 | Mes 6,65_69 | Mes 12,65_69 | Diferencia,numerador_mujeres_50_69 | Mes 6,numerador_mujeres_50_69 | Mes 12,numerador_mujeres_50_69 | Diferencia,Total mes 6,Total mes 12,Diferencia,Variacion %,Alerta
2025,13,9,13125,109313,Servicio de Salud Metropolitano Norte,Quilicura,Centro de Salud Familiar Irene Frei de Cid,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,385,411,26,331,386,55,315,365,50,142,182,40,1173,1344,171,1173,1344,171,14.58,Aumento esperado
2025,13,9,13125,109315,Servicio de Salud Metropolitano Norte,Quilicura,Centro de Salud Familiar Manuel Bustos Huerta,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,466,521,55,418,526,108,370,431,61,173,206,33,1427,1684,257,1427,1684,257,18.01,Aumento esperado
2025,13,9,13125,201091,Servicio de Salud Metropolitano Norte,Quilicura,Centro de Salud Familiar Marta Ugarte Román,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,294,271,-23,361,284,-77,386,393,7,294,198,-96,1335,1146,-189,1335,1146,-189,-14.16,Baja de mes 6 a mes 12
2025,13,9,13125,109324,Servicio de Salud Metropolitano Norte,Quilicura,Centro de Salud Familiar Presidente Salvador Allende Gossens,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,617,655,38,478,529,51,342,409,67,135,143,8,1572,1736,164,1572,1736,164,10.43,Aumento esperado
2025,13,9,13127,109390,Servicio de Salud Metropolitano Norte,Recoleta,Centro de Salud Familiar Cristo Vive (ONG),Centro de Salud Familiar (CESFAM),Otra Institución,Vigente en Operación Habitual,,456,504,48,409,450,41,379,354,-25,345,283,-62,1589,1591,2,1589,1591,2,0.13,Aumento esperado
2025,13,9,13127,109307,Servicio de Salud Metropolitano Norte,Recoleta,Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie),Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,368,135,-233,398,154,-244,417,176,-241,209,141,-68,1392,606,-786,1392,606,-786,-56.47,Baja de mes 6 a mes 12
2025,13,9,13127,109303,Servicio de Salud Metropolitano Norte,Recoleta,Centro de Salud Familiar Quinta Bella,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,498,498,0,468,433,-35,498,228,-270,199,216,17,1663,1375,-288,1663,1375,-288,-17.32,Baja de mes 6 a mes 12
2025,13,9,13127,109301,Servicio de Salud Metropolitano Norte,Recoleta,Centro de Salud Familiar Recoleta,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,536,455,-81,449,398,-51,449,378,-71,252,249,-3,1686,1480,-206,1686,1480,-206,-12.22,Baja de mes 6 a mes 12
2025,13,9,13127,109304,Servicio de Salud Metropolitano Norte,Recoleta,Centro de Salud Familiar Valdivieso,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,116,153,37,116,148,32,131,174,43,77,112,35,440,587,147,440,587,147,33.41,Aumento esperado
2025,13,9,13303,109320,Servicio de Salud Metropolitano Norte,Tiltil,Centro de Salud Familiar Huertos Familiares,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,157,160,3,145,131,-14,68,95,27,54,79,25,424,465,41,424,465,41,9.67,Aumento esperado
2025,13,9,13303,109104,Servicio de Salud Metropolitano Norte,Tiltil,Hospital de Til Til,Hospital,Servicio de Salud,Vigente en Operación Habitual,,140,132,-8,112,118,6,98,108,10,90,100,10,440,458,18,440,458,18,4.09,Aumento esperado
2025,13,9,13303,109410,Servicio de Salud Metropolitano Norte,Tiltil,Posta de Salud Rural La Capilla de Caleu,Posta de Salud Rural (PSR),Municipal,Vigente en Operación Habitual,,15,23,8,16,16,0,9,10,1,19,9,-10,59,58,-1,59,58,-1,-1.69,Baja de mes 6 a mes 12
2025,13,9,13303,109412,Servicio de Salud Metropolitano Norte,Tiltil,Posta de Salud Rural Montenegro,Posta de Salud Rural (PSR),Municipal,Vigente en Operación Habitual,,11,26,15,14,18,4,16,19,3,16,18,2,57,81,24,57,81,24,42.11,Aumento esperado
2025,13,9,13303,109414,Servicio de Salud Metropolitano Norte,Tiltil,Posta de Salud Rural Polpaico,Posta de Salud Rural (PSR),Municipal,Vigente en Operación Habitual,,34,63,29,36,46,10,30,48,18,19,24,5,119,181,62,119,181,62,52.1,Aumento esperado
2025,13,9,13303,109413,Servicio de Salud Metropolitano Norte,Tiltil,Posta de Salud Rural Rungue,Posta de Salud Rural (PSR),Municipal,Vigente en Operación Habitual,,10,24,14,8,13,5,15,12,-3,4,15,11,37,64,27,37,64,27,72.97,Aumento esperado
2025,13,10,13502,110503,Servicio de Salud Metropolitano Occidente,Alhué,Centro Comunitario de Salud Familiar Hacienda Alhué,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Vigente en Operación Habitual,110393,41,51,10,39,45,6,35,39,4,16,16,0,131,151,20,131,151,20,15.27,Aumento esperado
2025,13,10,13502,110393,Servicio de Salud Metropolitano Occidente,Alhué,Centro de Salud Familiar Villa Alhué,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,76,83,7,65,72,7,52,55,3,40,46,6,233,256,23,233,256,23,9.87,Aumento esperado
2025,13,10,13502,110510,Servicio de Salud Metropolitano Occidente,Alhué,Posta de Salud Rural El Asiento,Posta de Salud Rural (PSR),Municipal,Vigente en Operación Habitual,,13,13,0,20,23,3,11,14,3,6,6,0,50,56,6,50,56,6,12.0,Aumento esperado
2025,13,10,13502,110505,Servicio de Salud Metropolitano Occidente,Alhué,Posta de Salud Rural Pichi,Posta de Salud Rural (PSR),Municipal,Vigente en Operación Habitual,,14,14,0,6,8,2,13,15,2,5,5,0,38,42,4,38,42,4,10.53,Aumento esperado
2025,13,10,13103,110735,Servicio de Salud Metropolitano Occidente,Cerro Navia,Centro Comunitario de Salud Familiar Los Lagos (Unidad Vecinal Nº 33),Centro Comunitario de Salud Familiar (CECOSF),Municipal,Vigente en Operación Habitual,110335,35,41,6,38,28,-10,64,54,-10,47,44,-3,184,167,-17,184,167,-17,-9.24,Baja de mes 6 a mes 12
2025,13,10,13103,110335,Servicio de Salud Metropolitano Occidente,Cerro Navia,Centro de Salud Familiar Cerro Navia,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,184,339,155,165,273,108,156,225,69,88,136,48,593,973,380,593,973,380,64.08,Aumento esperado
2025,13,10,13103,110330,Servicio de Salud Metropolitano Occidente,Cerro Navia,Centro de Salud Familiar Dr. Adalberto Steeger,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,320,359,39,290,340,50,274,314,40,127,148,21,1011,1161,150,1011,1161,150,14.84,Aumento esperado
2025,13,10,13103,110355,Servicio de Salud Metropolitano Occidente,Cerro Navia,Centro de Salud Familiar Dr. Arturo Albertz,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,207,224,17,237,250,13,276,249,-27,193,192,-1,913,915,2,913,915,2,0.22,Aumento esperado
2025,13,10,13103,110331,Servicio de Salud Metropolitano Occidente,Cerro Navia,Centro de Salud Familiar Lo Amor,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,120,221,101,85,195,110,91,229,138,42,94,52,338,739,401,338,739,401,118.64,Aumento esperado
2025,13,10,13503,110160,Servicio de Salud Metropolitano Occidente,Curacaví,Hospital de Curacaví,Hospital,Servicio de Salud,Vigente en Operación Habitual,,319,243,-76,282,278,-4,230,285,55,147,133,-14,978,939,-39,978,939,-39,-3.99,Baja de mes 6 a mes 12
2025,13,10,13602,200454,Servicio de Salud Metropolitano Occidente,El Monte,Centro Comunitario de Salud Familiar Lo Chacón,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Vigente en Operación Habitual,110370,56,68,12,42,47,5,53,64,11,27,32,5,178,211,33,178,211,33,18.54,Aumento esperado
