Ano,IdRegion,IdServicio,IdComuna,IdEstablecimiento,servicio_salud_master,comuna_master,establecimiento_master,tipo_establecimiento_master,dependencia_master,estado_funcionamiento_master,codigo_madre_master,50_54 | Mes 6,50_54 | Mes 12,50_54 | Diferencia,55_59 | Mes 6,55_59 | Mes 12,55_59 | Diferencia,60_64 | Mes 6,60_64 | Mes 12,60_64 | Diferencia,65_69 | Mes 6,65_69 | Mes 12,65_69 | Diferencia,numerador_mujeres_50_69 | Mes 6,numerador_mujeres_50_69 | Mes 12,numerador_mujeres_50_69 | Diferencia,Total mes 6,Total mes 12,Diferencia,Variacion %,Alerta
2025,13,11,13106,111781,Servicio de Salud Metropolitano Central,Estación Central,Centro Comunitario de Salud Familiar Villa Francia,Centro Comunitario de Salud Familiar (CECOSF),Servicio de Salud,Vigente en Operación Habitual,111306,26,18,-8,24,19,-5,18,11,-7,8,3,-5,76,51,-25,76,51,-25,-32.89,Baja de mes 6 a mes 12
2025,13,10,13126,110720,Servicio de Salud Metropolitano Occidente,Quinta Normal,Centro Comunitario de Salud Familiar Catamarca,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Vigente en Operación Habitual,110320,45,44,-1,62,49,-13,63,59,-4,47,41,-6,217,193,-24,217,193,-24,-11.06,Baja de mes 6 a mes 12
2025,13,9,13302,109712,Servicio de Salud Metropolitano Norte,Lampa,Centro Comunitario de Salud Familiar Batuco,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Vigente en Operación Habitual,109312,66,61,-5,75,68,-7,62,54,-8,30,27,-3,233,210,-23,233,210,-23,-9.87,Baja de mes 6 a mes 12
2025,13,10,13603,110430,Servicio de Salud Metropolitano Occidente,Isla de Maipo,Posta de Salud Rural San Antonio de Naltagua,Posta de Salud Rural (PSR),Municipal,Vigente en Operación Habitual,,21,13,-8,17,11,-6,7,9,2,15,6,-9,60,39,-21,60,39,-21,-35.0,Baja de mes 6 a mes 12
2025,13,10,13603,200385,Servicio de Salud Metropolitano Occidente,Isla de Maipo,Centro Comunitario de Salud Familiar San Vicente de Naltagua,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Vigente en Operación Habitual,110375,16,11,-5,14,10,-4,18,5,-13,10,13,3,58,39,-19,58,39,-19,-32.76,Baja de mes 6 a mes 12
2025,13,13,13401,113394,Servicio de Salud Metropolitano Sur,San Bernardo,Centro de Salud Familiar El Manzano,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,273,249,-24,201,195,-6,192,195,3,111,120,9,777,759,-18,777,759,-18,-2.32,Baja de mes 6 a mes 12
2025,13,13,13401,113328,Servicio de Salud Metropolitano Sur,San Bernardo,Centro de Salud Familiar Padre Joan Alsina,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,456,431,-25,387,375,-12,335,344,9,151,161,10,1329,1311,-18,1329,1311,-18,-1.35,Baja de mes 6 a mes 12
2025,13,10,13103,110735,Servicio de Salud Metropolitano Occidente,Cerro Navia,Centro Comunitario de Salud Familiar Los Lagos (Unidad Vecinal Nº 33),Centro Comunitario de Salud Familiar (CECOSF),Municipal,Vigente en Operación Habitual,110335,35,41,6,38,28,-10,64,54,-10,47,44,-3,184,167,-17,184,167,-17,-9.24,Baja de mes 6 a mes 12
2025,13,10,13124,110756,Servicio de Salud Metropolitano Occidente,Pudahuel,Centro Comunitario de Salud Familiar Mar Caribe,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Vigente en Operación Habitual,110350,30,22,-8,40,23,-17,17,22,5,12,18,6,99,85,-14,99,85,-14,-14.14,Baja de mes 6 a mes 12
2025,13,13,13403,113413,Servicio de Salud Metropolitano Sur,Calera de Tango,Posta de Salud Rural Santa Inés,Posta de Salud Rural (PSR),Municipal,Vigente en Operación Habitual,,7,2,-5,5,3,-2,8,4,-4,3,0,-3,23,9,-14,23,9,-14,-60.87,Baja de mes 6 a mes 12
2025,13,10,13603,110425,Servicio de Salud Metropolitano Occidente,Isla de Maipo,Centro de Salud Familiar La Islita,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,236,258,22,243,225,-18,183,157,-26,67,77,10,729,717,-12,729,717,-12,-1.65,Baja de mes 6 a mes 12
2025,13,9,13301,109418,Servicio de Salud Metropolitano Norte,Colina,Posta de Salud Rural Las Canteras,Posta de Salud Rural (PSR),Municipal,Vigente en Operación Habitual,,37,32,-5,29,36,7,15,15,0,19,7,-12,100,90,-10,100,90,-10,-10.0,Baja de mes 6 a mes 12
2025,13,14,13111,114706,Servicio de Salud Metropolitano Sur Oriente,La Granja,Centro Comunitario de Salud Familiar Millalemu,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Vigente en Operación Habitual,114306,45,46,1,34,31,-3,44,39,-5,43,40,-3,166,156,-10,166,156,-10,-6.02,Baja de mes 6 a mes 12
2025,13,9,13301,109716,Servicio de Salud Metropolitano Norte,Colina,Centro Comunitario de Salud Familiar Esmeralda,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Vigente en Operación Habitual,109316,55,55,0,45,40,-5,33,28,-5,9,10,1,142,133,-9,142,133,-9,-6.34,Baja de mes 6 a mes 12
2025,13,10,13504,110465,Servicio de Salud Metropolitano Occidente,Maria Pinto,Posta de Salud Rural Santa Emilia,Posta de Salud Rural (PSR),Municipal,Vigente en Operación Habitual,,25,23,-2,18,22,4,33,30,-3,21,15,-6,97,90,-7,97,90,-7,-7.22,Baja de mes 6 a mes 12
2025,13,9,13301,109416,Servicio de Salud Metropolitano Norte,Colina,Posta de Salud Rural Colorado,Posta de Salud Rural (PSR),Municipal,Vigente en Operación Habitual,,25,24,-1,34,32,-2,20,17,-3,11,11,0,90,84,-6,90,84,-6,-6.67,Baja de mes 6 a mes 12
