Ano,Mes,IdRegion,IdServicio,IdComuna,IdEstablecimiento,50_54,55_59,60_64,65_69,numerador_mujeres_50_69
2025,12,13,9,13303,109410,23,16,10,9,58
2025,12,13,9,13303,109412,26,18,19,18,81
2025,12,13,9,13303,109413,24,13,12,15,64
2025,12,13,9,13303,109414,63,46,48,24,181
2025,6,13,10,13103,110330,320,290,274,127,1011
2025,6,13,10,13103,110331,120,85,91,42,338
2025,6,13,10,13103,110335,184,165,156,88,593
2025,6,13,10,13103,110355,207,237,276,193,913
2025,6,13,10,13103,110735,35,38,64,47,184
2025,6,13,10,13117,110315,352,311,337,174,1174
2025,6,13,10,13117,110316,324,282,249,177,1032
2025,6,13,10,13117,110340,346,320,277,134,1077
2025,6,13,10,13117,110345,304,343,347,192,1186
2025,6,13,10,13124,110350,518,547,605,323,1993
2025,6,13,10,13124,110351,352,207,193,152,904
2025,6,13,10,13124,110352,214,294,360,229,1097
2025,6,13,10,13124,110353,279,212,135,67,693
2025,6,13,10,13124,110354,192,233,249,113,787
2025,6,13,10,13124,110410,4,0,6,0,10
2025,6,13,10,13124,110750,15,33,29,0,77
2025,6,13,10,13124,110752,62,68,84,41,255
2025,6,13,10,13124,110754,23,33,32,20,108
2025,6,13,10,13124,110756,30,40,17,12,99
2025,6,13,10,13124,110758,35,15,13,9,72
2025,6,13,10,13124,201353,0,0,1,0,1
2025,6,13,10,13126,110310,96,131,91,82,400
2025,6,13,10,13126,110320,168,143,155,92,558
2025,6,13,10,13126,110325,361,394,335,180,1270
2025,6,13,10,13126,110720,45,62,63,47,217
2025,6,13,10,13128,110360,437,432,456,284,1609
2025,6,13,10,13128,110361,654,593,491,170,1908
2025,6,13,10,13128,110362,409,273,384,290,1356
2025,6,13,10,13128,110364,240,206,158,74,678
2025,6,13,10,13501,110378,399,434,419,241,1493
2025,6,13,10,13501,110379,601,644,521,244,2010
2025,6,13,10,13501,110380,118,160,160,74,512
2025,6,13,10,13501,110381,155,122,83,62,422
2025,6,13,10,13501,110440,89,79,88,51,307
2025,6,13,10,13501,110445,39,41,40,26,146
2025,6,13,10,13501,110778,40,26,38,18,122
2025,6,13,10,13501,110781,30,8,8,2,48
2025,6,13,10,13501,110783,21,21,27,13,82
2025,6,13,10,13501,200965,88,78,46,6,218
2025,6,13,10,13502,110393,76,65,52,40,233
2025,6,13,10,13502,110503,41,39,35,16,131
2025,6,13,10,13502,110505,14,6,13,5,38
2025,6,13,10,13502,110510,13,20,11,6,50
2025,6,13,10,13503,110160,319,282,230,147,978
2025,6,13,10,13504,110385,154,149,148,107,558
2025,6,13,10,13504,110465,25,18,33,21,97
2025,6,13,10,13504,110470,9,12,17,16,54
2025,6,13,10,13504,110475,30,38,28,12,108
2025,6,13,10,13505,110387,128,116,81,36,361
2025,6,13,10,13505,110485,21,20,20,7,68
2025,6,13,10,13505,110490,8,11,3,6,28
2025,6,13,10,13505,110492,10,14,7,3,34
2025,6,13,10,13505,110495,12,11,8,2,33
2025,6,13,10,13601,110390,1321,1386,1299,947,4953
2025,6,13,10,13601,110400,78,42,32,35,187
2025,6,13,10,13601,200365,74,61,31,18,184
2025,6,13,10,13602,110370,366,358,315,163,1202
2025,6,13,10,13602,200454,56,42,53,27,178
2025,6,13,10,13603,110375,190,289,246,145,870
2025,6,13,10,13603,110425,236,243,183,67,729
2025,6,13,10,13603,110430,21,17,7,15,60
2025,6,13,10,13603,110431,25,31,32,20,108
2025,6,13,10,13603,110432,25,21,15,9,70
2025,6,13,10,13603,110775,34,62,45,19,160
2025,6,13,10,13603,200385,16,14,18,10,58
2025,6,13,10,13604,110366,1612,1523,1358,1035,5528
2025,6,13,10,13605,110308,90,104,120,105,419
2025,6,13,10,13605,110369,601,550,477,325,1953
2025,6,13,11,13101,111300,500,448,419,245,1612
2025,6,13,11,13101,111301,65,85,56,51,257
2025,6,13,11,13101,111370,319,284,289,149,1041
2025,6,13,11,13101,111372,237,218,227,113,795
2025,6,13,11,13101,111376,358,334,317,130,1139
2025,6,13,11,13101,111381,776,632,623,312,2343
2025,6,13,11,13102,111305,632,642,593,385,2252
2025,6,13,11,13102,111307,96,74,81,21,272
2025,6,13,11,13102,200346,41,44,24,12,121
2025,6,13,11,13106,111302,126,171,198,136,631
2025,6,13,11,13106,111306,248,303,271,106,928
2025,6,13,11,13106,111310,134,115,122,58,429
2025,6,13,11,13106,111781,26,24,18,8,76
2025,6,13,11,13119,111304,322,333,453,324,1432
2025,6,13,11,13119,111308,231,262,300,176,969
2025,6,13,11,13119,111309,213,262,298,159,932
2025,6,13,11,13119,111378,447,390,388,182,1407
2025,6,13,11,13119,111379,55,35,73,38,201
2025,6,13,11,13119,111380,341,372,438,205,1356
2025,6,13,11,13119,111382,395,413,526,361,1695
2025,6,13,11,13119,111383,157,255,267,158,837
2025,6,13,11,13119,111704,11,10,8,4,33
2025,6,13,11,13119,200643,24,23,18,8,73
2025,6,13,11,13119,201674,71,63,74,40,248
2025,6,13,12,13113,112317,426,422,439,365,1652
2025,6,13,12,13113,112320,68,47,39,22,176
2025,6,13,12,13114,112304,653,733,840,675,2901
2025,6,13,12,13114,112306,593,633,693,425,2344
2025,6,13,12,13115,112307,718,737,615,326,2396
2025,6,13,12,13118,112312,552,494,548,419,2013
2025,6,13,12,13118,112313,393,468,442,234,1537
2025,6,13,12,13118,112319,266,286,363,242,1157
2025,6,13,12,13120,112310,44,41,46,46,177
2025,6,13,12,13120,112311,292,291,330,261,1174
2025,6,13,12,13122,112314,422,369,305,143,1239
2025,6,13,12,13122,112315,210,147,148,84,589
2025,6,13,12,13122,112316,1076,1076,867,145,3164
2025,6,13,12,13122,112318,245,224,198,131,798
2025,6,13,12,13122,112321,294,241,193,72,800
2025,6,13,12,13122,112322,356,223,117,46,742
2025,6,13,12,13122,201112,276,218,137,142,773
2025,6,13,12,13123,112301,277,240,285,226,1028
2025,6,13,12,13123,112302,264,45,234,200,743
2025,6,13,12,13123,112303,315,317,370,272,1274
2025,6,13,12,13132,112309,519,572,544,335,1970
2025,6,13,13,13105,113312,390,428,393,172,1383
2025,6,13,13,13105,113314,468,538,471,164,1641
2025,6,13,13,13105,113317,572,548,607,263,1990
2025,6,13,13,13105,113323,248,250,346,229,1073
2025,6,13,13,13105,113324,390,326,272,155,1143
2025,6,13,13,13105,113329,245,187,185,123,740
2025,6,13,13,13105,200962,42,60,54,17,173
2025,6,13,13,13109,113311,568,545,565,392,2070
2025,6,13,13,13109,113326,485,511,537,309,1842
2025,6,13,13,13116,113308,100,87,120,44,351
2025,6,13,13,13116,113309,367,312,328,142,1149
2025,6,13,13,13116,113310,183,197,273,153,806
2025,6,13,13,13116,113396,411,347,289,101,1148
2025,6,13,13,13121,111303,352,338,403,267,1360
2025,6,13,13,13121,113303,346,398,496,249,1489
2025,6,13,13,13121,113306,330,387,466,197,1380
2025,6,13,13,13121,113331,363,396,457,252,1468
2025,6,13,13,13129,113301,158,160,217,126,661
2025,6,13,13,13129,113305,50,58,47,5,160
2025,6,13,13,13129,113322,355,412,429,225,1421
2025,6,13,13,13129,113701,44,38,38,19,139
2025,6,13,13,13129,113702,29,32,27,16,104
2025,6,13,13,13129,113722,74,99,92,56,321
2025,6,13,13,13129,113753,36,52,49,17,154
2025,6,13,13,13129,200210,117,118,118,48,401
2025,6,13,13,13129,200337,15,13,9,7,44
2025,6,13,13,13130,113300,594,645,709,477,2425
2025,6,13,13,13130,113302,198,209,224,120,751
2025,6,13,13,13130,200361,8,25,24,16,73
2025,6,13,13,13401,113313,393,388,366,203,1350
2025,6,13,13,13401,113315,303,243,202,79,827
2025,6,13,13,13401,113316,370,388,379,142,1279
2025,6,13,13,13401,113328,456,387,335,151,1329
2025,6,13,13,13401,113330,438,365,321,127,1251
2025,6,13,13,13401,113332,419,304,277,107,1107
2025,6,13,13,13401,113394,273,201,192,111,777
2025,6,13,13,13401,113713,42,35,22,15,114
2025,6,13,13,13402,113320,295,266,222,140,923
2025,6,13,13,13402,113333,129,110,116,53,408
2025,6,13,13,13402,113390,583,559,524,286,1952
2025,6,13,13,13402,113402,77,68,71,40,256
2025,6,13,13,13402,113404,78,55,66,34,233
2025,6,13,13,13402,113405,88,76,83,36,283
2025,6,13,13,13402,113406,25,19,17,4,65
2025,6,13,13,13402,113407,42,44,34,16,136
2025,6,13,13,13402,113790,177,184,135,51,547
2025,6,13,13,13403,113321,148,124,125,69,466
2025,6,13,13,13403,113334,195,176,193,118,682
2025,6,13,13,13403,113413,7,5,8,3,23
2025,6,13,13,13404,113318,752,681,616,260,2309
2025,6,13,13,13404,113319,247,256,259,121,883
2025,6,13,13,13404,113408,69,62,52,32,215
2025,6,13,13,13404,113409,76,101,66,36,279
2025,6,13,13,13404,113410,25,34,18,28,105
2025,6,13,13,13404,113411,47,47,48,27,169
2025,6,13,13,13404,113412,38,52,37,20,147
2025,6,13,14,13110,114302,232,214,208,143,797
2025,6,13,14,13110,114303,216,255,304,202,977
2025,6,13,14,13110,114304,385,259,358,210,1212
2025,6,13,14,13110,114305,311,277,443,416,1447
2025,6,13,14,13110,114316,226,234,358,344,1162
2025,6,13,14,13110,114324,242,291,264,188,985
2025,6,13,14,13110,114330,219,217,143,186,765
2025,6,13,14,13110,114331,204,197,220,195,816
2025,6,13,14,13110,114334,183,205,237,204,829
2025,6,13,14,13111,114306,179,150,134,110,573
2025,6,13,14,13111,114315,89,54,37,13,193
2025,6,13,14,13111,114325,832,754,893,623,3102
2025,6,13,14,13111,114706,45,34,44,43,166
2025,6,13,14,13111,114796,15,9,21,16,61
2025,6,13,14,13112,114308,209,153,130,69,561
2025,6,13,14,13112,114309,381,334,221,111,1047
2025,6,13,14,13112,114311,269,228,183,127,807
2025,6,13,14,13112,114317,300,293,384,214,1191
2025,6,13,14,13112,114318,148,128,111,68,455
2025,6,13,14,13112,114319,454,387,467,448,1756
2025,6,13,14,13112,114327,142,128,143,107,520
2025,6,13,14,13131,114307,247,220,150,90,707
2025,6,13,14,13131,114314,414,475,466,238,1593
2025,6,13,14,13131,114328,411,334,232,153,1130
2025,6,13,14,13131,114714,45,55,64,39,203
2025,6,13,14,13201,114301,852,971,1181,756,3760
2025,6,13,14,13201,114312,589,572,591,365,2117
2025,6,13,14,13201,114313,193,163,134,92,582
2025,6,13,14,13201,114320,368,390,325,99,1182
2025,6,13,14,13201,114321,346,381,371,205,1303
2025,6,13,14,13201,114322,495,590,708,446,2239
2025,6,13,14,13201,114323,253,239,177,98,767
2025,6,13,14,13201,114326,322,328,255,167,1072
2025,6,13,14,13201,114329,281,313,273,139,1006
2025,6,13,14,13201,114332,331,429,542,366,1668
2025,6,13,14,13202,114310,114,133,129,76,452
2025,6,13,14,13202,114333,144,161,137,58,500
2025,6,13,14,13202,114401,12,12,13,8,45
2025,6,13,14,13202,114403,3,6,3,5,17
2025,6,13,14,13202,114406,5,5,10,5,25
2025,6,13,14,13203,114102,95,79,93,41,308
2025,6,13,14,13203,114407,19,19,19,22,79
2025,6,13,14,13203,114410,15,10,10,9,44
2025,6,13,9,13104,109302,273,284,277,162,996
2025,6,13,9,13104,109308,344,412,373,183,1312
2025,6,13,9,13104,109309,181,173,137,69,560
2025,6,13,9,13104,109314,298,354,424,252,1328
2025,6,13,9,13104,109709,112,117,93,51,373
2025,6,13,9,13104,200347,99,96,98,52,345
2025,6,13,9,13104,200609,30,25,26,9,90
2025,6,13,9,13107,109305,262,282,245,138,927
2025,6,13,9,13107,109317,231,178,181,92,682
2025,6,13,9,13107,109323,216,177,109,55,557
2025,6,13,9,13107,109718,69,86,99,74,328
2025,6,13,9,13107,200961,92,74,76,51,293
2025,6,13,9,13108,109300,637,555,518,318,2028
2025,6,13,9,13108,109321,427,426,360,290,1503
2025,6,13,9,13108,200554,85,120,107,60,372
2025,6,13,9,13125,109313,385,331,315,142,1173
2025,6,13,9,13125,109315,466,418,370,173,1427
2025,6,13,9,13125,109324,617,478,342,135,1572
2025,6,13,9,13125,109713,70,67,37,20,194
2025,6,13,9,13125,109715,15,13,20,17,65
2025,6,13,9,13125,200304,34,36,38,25,133
2025,6,13,9,13125,201091,294,361,386,294,1335
2025,6,13,9,13127,109301,536,449,449,252,1686
2025,6,13,9,13127,109303,498,468,498,199,1663
2025,6,13,9,13127,109304,116,116,131,77,440
2025,6,13,9,13127,109307,368,398,417,209,1392
2025,6,13,9,13127,109390,456,409,379,345,1589
2025,6,13,9,13301,109310,554,526,469,422,1971
2025,6,13,9,13301,109316,612,560,520,292,1984
2025,6,13,9,13301,109416,25,34,20,11,90
2025,6,13,9,13301,109417,32,14,17,8,71
2025,6,13,9,13301,109418,37,29,15,19,100
2025,6,13,9,13301,109419,6,7,4,0,17
2025,6,13,9,13301,109420,18,21,18,12,69
2025,6,13,9,13301,109716,55,45,33,9,142
2025,6,13,9,13301,201462,335,245,189,103,872
2025,6,13,9,13302,109311,513,402,268,153,1336
2025,6,13,9,13302,109312,188,148,109,61,506
2025,6,13,9,13302,109711,55,64,33,22,174
2025,6,13,9,13302,109712,66,75,62,30,233
2025,6,13,9,13302,201212,154,112,108,64,438
2025,6,13,9,13303,109104,140,112,98,90,440
2025,6,13,9,13303,109320,157,145,68,54,424
2025,6,13,9,13303,109410,15,16,9,19,59
2025,6,13,9,13303,109412,11,14,16,16,57
2025,6,13,9,13303,109413,10,8,15,4,37
2025,6,13,9,13303,109414,34,36,30,19,119
