Ano,Mes,IdRegion,IdServicio,IdComuna,IdEstablecimiento,50_54,55_59,60_64,65_69,numerador_mujeres_50_69,servicio_salud_piv,dependencia_piv,comuna_piv,establecimiento_piv,denominador_piv_mujeres_50_69,codigo_madre_master,servicio_salud_master,tipo_establecimiento_master,establecimiento_master,dependencia_master,comuna_master,estado_funcionamiento_master,denominador_disponible,cobertura_mamografia_pct,advertencia_cobertura_establecimiento
2025,12,13,9,13127,109304,153,148,174,112,587,Metropolitano Norte,Municipal ,Recoleta,Centro De Salud Familiar Valdivieso,1400.0,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Valdivieso,Municipal,Recoleta,Vigente en Operación Habitual,True,41.92857142857142,
2025,12,13,9,13127,109307,135,154,176,141,606,Metropolitano Norte,Municipal ,Recoleta,Centro De Salud Familiar Dr. Juan Petrinovic (Ex Scroggie),3277.0,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie),Municipal,Recoleta,Vigente en Operación Habitual,True,18.492523649679583,
2025,12,13,9,13127,109390,504,450,354,283,1591,Metropolitano Norte,Otra Institución,Recoleta,Centro De Salud Familiar Cristo Vive (Ong),3287.0,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Cristo Vive (ONG),Otra Institución,Recoleta,Vigente en Operación Habitual,True,48.40279890477639,
2025,12,13,9,13301,109310,610,495,500,367,1972,Metropolitano Norte,Municipal ,Colina,Centro De Salud Familiar Colina,6482.0,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Colina,Municipal,Colina,Vigente en Operación Habitual,True,30.422709040419623,
2025,12,13,9,13301,109316,628,610,579,261,2078,Metropolitano Norte,Municipal ,Colina,Centro De Salud Familiar Esmeralda,5822.0,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Esmeralda,Municipal,Colina,Vigente en Operación Habitual,True,35.692201992442456,
2025,12,13,9,13301,109416,24,32,17,11,84,Metropolitano Norte,Municipal ,Colina,Posta De Salud Rural Colorado,4.0,,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Colorado,Municipal,Colina,Vigente en Operación Habitual,True,2100.0,
2025,12,13,9,13301,109417,19,19,19,13,70,Metropolitano Norte,Municipal ,Colina,Posta De Salud Rural Los Ingleses,7.0,,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Los Ingleses,Municipal,Colina,Vigente en Operación Habitual,True,1000.0,
2025,12,13,9,13301,109418,32,36,15,7,90,Metropolitano Norte,Municipal ,Colina,Posta De Salud Rural Las Canteras,12.0,,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Las Canteras,Municipal,Colina,Vigente en Operación Habitual,True,750.0,
2025,12,13,9,13301,109419,22,20,18,8,68,Metropolitano Norte,Municipal ,Colina,Posta De Salud Rural Santa Marta De Liray,7.0,,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Santa Marta de Liray,Municipal,Colina,Vigente en Operación Habitual,True,971.4285714285713,
2025,12,13,9,13301,109420,18,23,21,12,74,Metropolitano Norte,Municipal ,Colina,Posta De Salud Rural Chacabuco (Colina),3.0,,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Chacabuco (Colina),Municipal,Colina,Vigente en Operación Habitual,True,2466.666666666667,
2025,12,13,9,13301,109716,55,40,28,10,133,Metropolitano Norte,Municipal ,Colina,Centro Comunitario De Salud Familiar Esmeralda,94.0,109316,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Esmeralda,Municipal,Colina,Vigente en Operación Habitual,True,141.48936170212767,
2025,12,13,9,13301,201462,450,267,226,124,1067,Metropolitano Norte,Municipal ,Colina,Centro De Salud Familiar La Reina,411.0,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),CESFAM La Reina de Colina,Municipal,Colina,Vigente en Operación Habitual,True,259.61070559610704,
2025,12,13,9,13302,109311,480,351,240,113,1184,Metropolitano Norte,Municipal ,Lampa,Centro De Salud Familiar  José Bauza Frau,4347.0,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar José Bauza Frau,Municipal,Lampa,Vigente en Operación Habitual,True,27.237175063262022,
