Mes,IdServicio,Ano,IdEstablecimiento,CodigoPrestacion,descripcion_prestacion,IdRegion,IdComuna,mujeres_mamografia_vigente,trans_masculino_mamografia_vigente,pueblos_originarios,migrantes,tramo_edad
12,10,2025,110350,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13124,607,0,15,11,60_64
12,10,2025,110350,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13124,236,0,6,3,65_69
12,10,2025,110720,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13126,44,0,0,6,50_54
12,10,2025,110720,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13126,49,0,1,7,55_59
12,10,2025,110510,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13502,13,0,0,0,50_54
12,10,2025,110510,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13502,23,0,0,0,55_59
12,10,2025,110510,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13502,14,0,0,0,60_64
12,10,2025,110783,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13501,24,0,0,0,50_54
12,10,2025,110330,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13103,359,0,37,44,50_54
12,10,2025,110330,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13103,340,0,44,19,55_59
12,10,2025,110510,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13502,6,0,0,0,65_69
12,10,2025,110783,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13501,27,0,0,0,55_59
12,10,2025,110783,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13501,32,0,0,0,60_64
12,10,2025,110783,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13501,16,0,0,0,65_69
12,10,2025,110410,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13124,10,0,0,2,50_54
12,10,2025,110410,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13124,9,0,0,0,55_59
12,10,2025,110410,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13124,7,0,0,1,60_64
12,10,2025,110410,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13124,2,0,1,0,65_69
12,10,2025,110720,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13126,59,0,2,1,60_64
12,10,2025,110720,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13126,41,0,0,0,65_69
6,10,2025,110492,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13505,3,0,0,0,65_69
12,10,2025,110160,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13503,285,0,1,3,60_64
