IdEstablecimiento,IdEstablecimiento_denominador_original,servicio_salud_denominador,dependencia_denominador,comuna_denominador,establecimiento_denominador,denominador_poblacion_inscrita_validada_mujeres_50_69,codigo_madre_master,IdServicio_master,servicio_salud_master,tipo_establecimiento_master,establecimiento_master,dependencia_master,IdComuna_master,comuna_master,estado_funcionamiento_master
110325,110325,Metropolitano Occidente,Municipal ,Quinta Normal,Centro De Salud Familiar Garín,4118,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Garín,Municipal,13126,Quinta Normal,Vigente en Operación Habitual
110330,110330,Metropolitano Occidente,Municipal ,Cerro Navia,Centro De Salud Familiar Dr. Adalberto Steeger,4636,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Adalberto Steeger,Municipal,13103,Cerro Navia,Vigente en Operación Habitual
110331,110331,Metropolitano Occidente,Municipal ,Cerro Navia,Centro De Salud Familiar Lo Amor,2616,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Lo Amor,Municipal,13103,Cerro Navia,Vigente en Operación Habitual
110335,110335,Metropolitano Occidente,Municipal ,Cerro Navia,Centro De Salud Familiar Cerro Navia,3745,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Cerro Navia,Municipal,13103,Cerro Navia,Vigente en Operación Habitual
110340,110340,Metropolitano Occidente,Municipal ,Lo Prado,Centro De Salud Familiar Dr. Raúl Yazigi,4907,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Raúl Yazigi,Municipal,13117,Lo Prado,Vigente en Operación Habitual
110345,110345,Metropolitano Occidente,Municipal ,Lo Prado,Centro De Salud Familiar Dr. Avendaño,3862,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Carlos Avendaño,Municipal,13117,Lo Prado,Vigente en Operación Habitual
110350,110350,Metropolitano Occidente,Municipal ,Pudahuel,Centro De Salud Familiar Pudahuel Estrella,7402,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Pudahuel Estrella,Municipal,13124,Pudahuel,Vigente en Operación Habitual
110351,110351,Metropolitano Occidente,Municipal ,Pudahuel,Consultorio Pudahuel Poniente,4853,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Pudahuel Poniente,Municipal,13124,Pudahuel,Vigente en Operación Habitual
110352,110352,Metropolitano Occidente,Municipal ,Pudahuel,Centro De Salud Familiar Dr. Gustavo Molina,5303,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Gustavo Molina,Municipal,13124,Pudahuel,Vigente en Operación Habitual
110353,110353,Metropolitano Occidente,Municipal ,Pudahuel,Centro De Salud Familiar Cardenal Raúl Silva Henríquez De Pudahuel,2973,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Cardenal Raúl Silva Henríquez,Municipal,13124,Pudahuel,Vigente en Operación Habitual
110354,110354,Metropolitano Occidente,Municipal ,Pudahuel,Centro De Salud Familiar Violeta Parra,7635,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Violeta Parra,Municipal,13124,Pudahuel,Vigente en Operación Habitual
110355,110355,Metropolitano Occidente,Municipal ,Cerro Navia,Centro De Salud Familiar Dr. Arturo Albertz,4383,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Arturo Albertz,Municipal,13103,Cerro Navia,Vigente en Operación Habitual
110360,110360,Metropolitano Occidente,Municipal ,Renca,Centro De Salud Familiar Renca,7678,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Renca,Municipal,13128,Renca,Vigente en Operación Habitual
110361,110361,Metropolitano Occidente,Municipal ,Renca,Centro De Salud Familiar Bicentenario,3905,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Bicentenario,Municipal,13128,Renca,Vigente en Operación Habitual
110362,110362,Metropolitano Occidente,Municipal ,Renca,Centro De Salud Familiar Dr. Hernán Urzúa Merino,3303,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Hernán Urzúa Merino,Municipal,13128,Renca,Vigente en Operación Habitual
110364,110364,Metropolitano Occidente,Municipal ,Renca,Centro De Salud Familiar Huamachuco,2012,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Huamachuco,Municipal,13128,Renca,Vigente en Operación Habitual
110366,110366,Metropolitano Occidente,Municipal ,Padre Hurtado,Centro De Salud Familiar Juan Pablo Ii De Padre Hurtado,6807,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juan Pablo II ( Padre Hurtado),Municipal,13604,Padre Hurtado,Vigente en Operación Habitual
110369,110369,Metropolitano Occidente,Municipal ,Peñaflor,Centro De Salud Familiar Dr. Fernando Monckeberg,5211,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Fernando Monckeberg,Municipal,13605,Peñaflor,Vigente en Operación Habitual
110370,110370,Metropolitano Occidente,Municipal ,El Monte,Centro De Salud Familiar El Monte,3862,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar El Monte,Municipal,13602,El Monte,Vigente en Operación Habitual
110375,110375,Metropolitano Occidente,Municipal ,Isla De Maipo,Centro De Salud Familiar Isla De Maipo,2956,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Isla de Maipo,Municipal,13603,Isla de Maipo,Vigente en Operación Habitual
110378,110378,Metropolitano Occidente,Municipal ,Melipilla,Centro De Salud Familiar Dr. Edelberto Elgueta,4437,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Edelberto Elgueta,Municipal,13501,Melipilla,Vigente en Operación Habitual
110379,110379,Metropolitano Occidente,Municipal ,Melipilla,Centro De Salud Familiar Dr. Francisco Boris Soler,4070,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Francisco Boris Soler,Municipal,13501,Melipilla,Vigente en Operación Habitual
