Mes,IdServicio,Ano,IdEstablecimiento,CodigoPrestacion,descripcion_prestacion,IdRegion,IdComuna,mujeres_mamografia_vigente,trans_masculino_mamografia_vigente,pueblos_originarios,migrantes,tramo_edad
12,14,2025,114306,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13111,76,0,10,10,55_59
12,10,2025,110310,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13126,144,0,6,42,50_54
12,10,2025,110310,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13126,114,0,1,37,55_59
12,10,2025,110310,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13126,106,0,4,29,60_64
12,10,2025,110310,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13126,61,0,2,9,65_69
12,10,2025,110160,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13503,243,0,0,4,50_54
12,10,2025,110160,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13503,278,0,1,9,55_59
12,10,2025,110160,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13503,285,0,1,3,60_64
12,10,2025,110160,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13503,133,0,0,3,65_69
12,10,2025,110315,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13117,378,0,29,59,50_54
12,10,2025,110315,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13117,362,0,23,46,55_59
12,10,2025,110315,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13117,407,0,23,37,60_64
12,10,2025,110315,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13117,210,0,7,14,65_69
12,10,2025,110340,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13117,430,0,25,23,50_54
12,10,2025,110340,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13117,407,0,24,18,55_59
12,10,2025,110340,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13117,369,0,16,14,60_64
12,10,2025,110340,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13117,179,0,9,9,65_69
12,10,2025,110320,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13126,298,0,5,4,50_54
12,10,2025,110320,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13126,365,0,4,6,55_59
12,10,2025,110320,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13126,182,0,5,4,60_64
12,10,2025,110320,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13126,92,0,1,1,65_69
12,10,2025,110308,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13605,347,0,6,5,50_54
12,10,2025,110308,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13605,292,0,1,4,55_59
12,10,2025,110308,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13605,292,0,2,6,60_64
12,10,2025,110308,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13605,115,0,0,1,65_69
12,10,2025,110352,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13124,302,0,7,5,50_54
12,10,2025,110352,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13124,475,0,9,4,55_59
12,10,2025,110352,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13124,551,0,10,4,60_64
12,10,2025,110352,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13124,249,0,1,0,65_69
12,10,2025,110330,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13103,365,0,38,42,50_54
12,10,2025,110330,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13103,323,0,45,15,55_59
12,10,2025,110330,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13103,313,0,37,9,60_64
12,10,2025,110330,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13103,135,0,9,11,65_69
12,10,2025,110316,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13117,381,0,33,46,50_54
12,10,2025,110316,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13117,312,0,21,24,55_59
12,10,2025,110316,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13117,280,0,18,18,60_64
12,10,2025,110316,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13117,207,0,7,10,65_69
12,10,2025,110350,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13124,555,0,16,38,50_54
12,10,2025,110350,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13124,539,0,15,27,55_59
12,10,2025,110350,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13124,607,0,15,11,60_64
12,10,2025,110350,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13124,236,0,6,3,65_69
12,10,2025,110361,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13128,659,0,0,0,50_54
12,10,2025,110361,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13128,593,0,0,0,55_59
12,10,2025,110361,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13128,475,0,0,0,60_64
12,10,2025,110361,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13128,191,0,0,0,65_69
